id,x,y,final_sf,dist_closest_gw,packets_sent,packets_success
0,89.44271909999159,0.0,10,89.44271909999159,1325,837
1,-114.23269539235919,104.64650640798517,8,154.91933384829667,1335,816
2,17.485144943391976,-199.23420817296557,7,200.00000000000003,1342,873
3,143.98291378756826,187.80021442277874,7,236.6431913239846,1334,856
4,-264.2263549831248,-46.73792178019634,7,268.3281572999748,1332,855
5,250.2982696346662,-159.21927087476544,9,296.6479394838265,1332,764
6,-83.71987274734742,311.4337536413932,10,322.490309931942,1332,787
7,-159.6628768737919,-307.42115370999494,10,346.4101615137754,1333,832
8,346.40457804568774,126.50639631650672,7,368.7817782917155,1334,885
9,-360.3762415685301,148.75807377396512,7,389.87177379235857,1332,839
10,173.7251617442039,-371.2405799167842,8,409.878030638384,1336,824
11,128.3784756068497,409.29080981725144,8,428.9522117905443,1333,771
12,-386.93421598061025,-224.23628721389068,7,447.21359549995793,1336,808
13,453.9178807087405,-99.79257273407481,7,464.75800154489,1329,871
14,-277.0190166413197,394.031044994016,10,481.6637831516918,1338,866
15,-63.997807410629626,-493.8666628216891,9,497.99598391954925,1332,752
16,392.8837675070212,331.12285519047,9,513.8093031466052,1330,843
17,-528.6983964669561,21.863338566408938,9,529.1502622129183,1334,789
18,385.6448949748847,-383.7681786962151,7,544.0588203494177,1333,836
19,-25.801137563200385,557.973387627443,7,558.5696017507576,1329,830
20,-366.94235564779774,-439.7195784038335,9,572.7128425310541,1335,751
21,581.2772073754546,78.21002612064922,7,586.5151319446071,1340,869
22,-492.5150021795315,342.67911028846805,7,600.0,1334,870
23,134.58342715132594,-598.2368269642079,10,613.1883886702356,1339,883
24,311.2844653898626,543.2328981265288,7,626.0990336999413,1339,865
25,-608.5313462023787,-194.13809695451516,8,638.7487769068525,1332,747
26,591.1107600940123,-273.10816410550416,7,651.1528238439882,1334,898
27,-256.0839511661433,611.8995096869553,12,663.3249580710799,1334,879
28,-228.5492838309678,-635.4252315263785,7,675.2777206453653,1340,867
29,608.1451146910467,319.62402831672955,8,687.0225614927067,1331,749
30,-675.4962054672915,178.05863191457703,7,698.5699678629193,1334,815
31,383.95670518044614,-597.1408950549074,7,709.9295739719539,1337,827
32,122.13889496090873,710.6912763906198,11,721.1102550927981,1333,872
33,-578.8312038492027,-448.2794189459102,8,732.1202087089251,1330,863
34,740.4302935643466,-61.34313630892626,7,742.9670248402684,1335,858
35,-511.79341045614177,553.2336802958322,7,753.6577472566707,1337,879
36,3.727974173824121,-764.1898338819742,7,764.198926981712,1328,817
37,520.4400124204928,573.709154077009,7,774.5966692414834,1337,834
38,-781.507456430861,-72.42993540633579,7,784.8566748139433,1333,798
39,633.2522315434937,-480.61586661822315,8,794.9842765740717,1329,839
40,-144.079005136438,791.9856313588614,7,804.9844718999243,1331,890
41,-434.00003369409666,-689.6694648551022,7,814.8619514985346,1335,877
42,795.295257400665,217.95745813348555,10,824.6211251235322,1335,809
43,-742.2351609169823,380.90282999544826,8,834.2661445845685,1336,824
44,293.3193929799552,-791.1786989687416,8,843.8009243891595,1335,847
45,321.70378755836697,790.2573461035341,9,853.2291603080616,1335,782
46,-779.4522869393386,-369.3969848077202,7,862.5543461139131,1328,907
47,833.0838869303335,-256.84866621621205,11,871.7797887081346,1329,855
48,-445.40709202646127,760.0082383583297,7,880.9086218218097,1333,887
49,-186.84582186131283,-870.1084063799008,7,889.9438184514795,1333,878
50,732.8159599935917,520.5581319878412,9,898.8882021697693,1338,866
51,-900.7759158811158,112.26196759605199,8,907.7444574328174,1336,806
52,594.057145111162,-697.9227094330546,10,916.5151389911681,1339,879
53,33.717367775744606,924.5880915901281,7,925.2026804976301,1333,842
54,-655.4535955605915,-665.1169702140313,7,933.8094023943002,1332,863
55,941.1081311640222,48.11949144537564,7,942.3375191511797,1333,829
56,-732.9634562608634,605.6109079154119,7,950.7891459203771,1332,855
57,132.53770775601325,-949.965134109027,7,959.1663046625439,1335,774
58,548.6727717606221,796.8426378705624,8,967.470929795826,1326,798
59,-950.8579553140922,-218.79019360086426,12,975.7048734120374,1335,843
