id,x,y,final_sf,dist_closest_gw,packets_sent,packets_success
0,40.0,0.0,12,40.0,1327,0
1,-51.08641443006844,46.79934038722444,12,69.2820323027551,1336,0
2,7.819594537972234,-89.10024658361904,12,89.44271909999159,1333,0
3,64.39111656549888,83.98680912767394,12,105.83005244258362,1331,0
4,-118.16561823785145,-20.901834045517397,12,120.00000000000001,1338,0
5,111.93678911073702,-71.2050226007856,12,132.664991614216,1335,0
6,-37.440665306140176,139.27740872601555,12,144.22205101855957,1328,0
7,-71.40340923459557,-137.4829194833921,12,154.91933384829667,1336,0
8,154.91683684545777,56.5753803504476,12,164.9242250247064,1327,0
9,-161.16515472462373,66.52663303210294,12,174.35595774162695,1338,0
10,77.69225421243715,-166.02383454007452,12,183.3030277982336,1334,0
11,57.412599660942895,183.0404146634625,12,191.8332609325088,1336,0
12,-173.042241950646,-100.2815162464853,12,200.00000000000003,1331,0
13,202.99824749347684,-44.62859525659666,12,207.84609690826528,1335,0
14,-123.88667045402727,176.21604037037957,12,215.40659228538016,1341,0
15,-28.620689556221528,-220.86388597805296,12,222.71057451320084,1334,0
16,175.7029622803845,148.08264262194197,12,229.78250586152114,1336,0
17,-236.44111081904964,9.777582249916636,12,236.64319132398464,1330,0
18,172.46564006792187,-171.62634703320472,12,243.3105012119288,1333,0
19,-11.538619497627867,249.53328487416053,12,249.7999199359359,1333,0
20,-164.10161021047594,-196.64857366970404,12,256.12496949731394,1333,0
21,259.95506989255176,34.97658698556117,12,262.29754097208,1334,0
22,-220.25940496237794,153.25075701483246,12,268.3281572999748,1331,0
23,60.18753835105114,-267.53964234714965,12,274.22618401604177,1331,0
24,139.21064499028265,242.94113756502722,12,280.0,1332,0
25,-272.14349130959545,-86.82119636254816,12,285.657137141714,1338,0
26,264.3527683603563,-122.13768403001508,12,291.20439557122074,1337,0
27,-114.52422455084661,273.64977981176463,12,296.6479394838265,1330,0
28,-102.2103469709875,-284.17080246230495,12,301.99337741082996,1338,0
29,271.9707633267173,142.940210911705,12,307.2458299147443,1338,0
30,-302.09108679360577,79.63024098832156,12,312.4099870362662,1329,0
31,171.71065864006465,-267.0495266975682,12,317.49015732775086,1324,0
32,54.622174365859685,317.8308010051034,12,322.490309931942,1336,0
33,-258.86118386097104,-200.47665073543246,12,327.41411087489803,1328,0
34,331.1304938020008,-27.43348454795893,12,332.264954516723,1335,0
35,-228.88097124327695,247.41362331677337,12,337.04599092705433,1330,0
36,1.6672007342068702,-341.7560832548732,12,341.7601498127012,1336,0
37,232.74784919661138,256.5705335660185,12,346.41016151377545,1338,0
38,-349.50075950047204,-32.391651834897125,12,350.99857549568486,1335,0
39,283.1990073269377,-214.93794976466378,12,355.52777669262366,1327,0
40,-64.43408992312335,354.18674178430064,12,360.0,1329,0
41,-194.09071551543983,-308.4295610843821,12,364.41734316577197,1339,0
42,355.6668515462159,97.47353851790763,12,368.7817782917155,1335,0
43,-331.9376550201735,170.34492413837367,12,373.0951621235526,1332,0
44,131.1764203644309,-353.8258706487898,12,377.35924528226417,1337,0
45,143.8703075199319,353.4138291212162,12,381.57568056677826,1336,0
46,-348.58165976280645,-165.19935374270386,12,385.74603043971814,1325,0
47,372.5664404271949,-114.86621551792078,12,389.8717737923585,1333,0
48,-199.19210708633437,339.88601688581764,12,393.95431207184424,1336,0
49,-83.55999179874235,-389.124308891894,12,397.994974842648,1332,0
50,327.72526030848746,232.80067387302412,12,401.9950248448356,1334,0
51,-402.8392360809614,50.20507816653018,12,405.9556626036887,1331,0
52,265.670431797603,-312.12052426662876,12,409.87803063838396,1329,0
53,15.078865273785164,413.48836479646565,12,413.763217311544,1332,0
54,-293.1277591540274,-297.4493516774554,12,417.6122603564221,1335,0
55,420.8763510921084,21.51969078291591,12,421.42615011410953,1336,0
56,-327.7912226444969,270.8374316028453,12,425.205832509386,1333,0
57,59.27266482488935,-424.83732322449765,12,428.9522117905443,1334,0
58,245.37392301199566,356.3588611297652,12,432.66615305567876,1336,0
59,-425.2366050057536,-97.8459491403744,12,436.3484845854286,1333,0
60,382.82727206685263,-216.89462824572672,12,440.0,1334,0
61,-136.89220593360514,421.97218386361845,12,443.6214602563767,1333,0
62,-185.58875924676934,-406.88673170950744,12,447.21359549995793,1334,0
63,414.97590672841204,176.053960009232,12,450.77710678338576,1338,0
64,-428.2457625308002,151.67586121203814,12,454.3126676640219,1331,0
65,214.96680482103315,-404.2143896808176,12,457.8209256903839,1331,0
66,115.40405176077945,446.6339718798776,12,461.3025037868318,1336,0
67,-389.6896301252749,-253.2626940013599,12,464.7580015448901,1329,0
68,461.8047274394067,-77.04799617521095,12,468.187996428785,1329,0
69,-290.5732896890255,371.43931310416997,12,471.59304490206375,1334,0
70,-36.90663430137405,-473.5376440627974,12,474.9736834815167,1334,0
71,349.53680623444853,326.53333840118313,12,478.33042972405593,1330,0
72,-481.64085827907957,-4.699322950340979,12,481.66378315169186,1331,0
73,360.78404485969475,-324.09084062138777,12,484.9742261192856,1331,0
74,-47.43010738366346,485.9530686327376,12,488.26222462934817,1329,0
75,-295.2448779713105,-392.9764140908535,12,491.52822909778024,1331,0
76,486.3453220692891,90.9297954540724,12,494.77267507411926,1334,0
77,-422.77453227372774,263.176166969448,12,497.99598391954936,1339,0
78,134.8293744453916,-482.72252877472414,12,501.1985634456667,1333,0
79,228.09449479438612,449.85875721663325,12,504.3808085167397,1335,0
80,-475.02469021491777,-178.74994737403802,12,507.54310161798077,1337,0
81,473.9287899931319,-190.24064238654637,12,510.6858133921481,1337,0
82,-222.3060497412018,463.2278275842918,12,513.8093031466052,1338,0
83,-149.88455475611377,-494.70660016373495,12,516.9139193328034,1334,0
84,447.34460044374924,265.1090501167818,12,520.0,1324,0
85,-511.9391781413731,107.32324018559777,12,523.0678732248808,1327,0
86,306.77060564386596,-427.4246079870643,12,526.1178575186361,1337,0
87,62.8784146340624,525.4010896192613,12,529.1502622129182,1336,0
88,-403.55436810228014,-346.90614290549746,12,532.1653878260029,1334,0
89,534.8968085585169,-16.89390996523276,12,535.1635264103861,1330,0
90,-385.1383342028361,375.8569721682233,12,538.1449618829486,1331,0
