id,x,y,final_sf,dist_closest_gw,packets_sent,packets_success
0,200.0,0.0,7,200.0,1331,1245
1,-255.43207215034215,233.99670193612218,8,346.41016151377545,1339,1232
2,39.097972689861166,-445.5012329180951,8,447.21359549995793,1335,1207
3,321.95558282749437,419.93404563836975,8,529.1502622129182,1331,1219
4,-590.8280911892572,-104.50917022758698,9,600.0,1330,1088
5,559.683945553685,-356.02511300392786,9,663.3249580710799,1328,1071
6,-187.2033265307009,696.3870436300779,10,721.1102550927981,1330,1148
7,-357.0170461729778,-687.4145974169604,10,774.5966692414833,1334,1191
8,774.584184227289,282.87690175223804,8,824.6211251235322,1333,1223
9,-805.8257736231187,332.6331651605147,7,871.7797887081347,1337,1225
10,388.4612710621858,-830.1191727003726,8,916.515138991168,1337,1139
11,287.0629983047145,915.2020733173125,8,959.1663046625439,1333,1180
12,-865.2112097532299,-501.4075812324265,8,1000.0,1334,1168
13,1014.9912374673842,-223.1429762829833,8,1039.2304845413264,1338,1187
14,-619.4333522701363,881.0802018518979,11,1077.0329614269008,1336,1104
15,-143.10344778110766,-1104.319429890265,10,1113.5528725660045,1329,1150
16,878.5148114019223,740.4132131097098,7,1148.9125293076056,1333,1221
17,-1182.2055540952483,48.887911249583176,9,1183.2159566199234,1328,1172
18,862.3282003396092,-858.1317351660235,7,1216.5525060596437,1332,1218
19,-57.69309748813934,1247.6664243708028,8,1248.9995996796797,1335,1204
20,-820.5080510523798,-983.2428683485202,10,1280.6248474865697,1332,1139
21,1299.7753494627586,174.88293492780585,7,1311.4877048603998,1337,1205
22,-1101.2970248118895,766.2537850741621,12,1341.640786499874,1337,1142
23,300.9376917552557,-1337.6982117357481,7,1371.1309200802089,1337,1202
24,696.0532249514133,1214.7056878251362,7,1400.0,1337,1186
25,-1360.717456547977,-434.10598181274077,9,1428.2856857085696,1332,1201
26,1321.7638418017814,-610.6884201500753,10,1456.0219778561036,1335,1119
27,-572.621122754233,1368.248899058823,8,1483.2396974191327,1331,1123
28,-511.0517348549375,-1420.8540123115247,9,1509.9668870541498,1336,1186
29,1359.8538166335868,714.7010545585251,7,1536.2291495737218,1338,1149
30,-1510.4554339680285,398.15120494160766,8,1562.0499351813307,1333,1131
31,858.5532932003232,-1335.247633487841,9,1587.4507866387544,1328,1154
32,273.1108718292984,1589.154005025517,8,1612.45154965971,1333,1198
