id,x,y,final_sf,dist_closest_gw,packets_sent,packets_success
0,400.0,0.0,8,400.0,1335,1258
1,-510.8641443006843,467.99340387224436,11,692.8203230275509,1332,1174
2,78.19594537972233,-891.0024658361903,7,894.4271909999159,1334,1006
3,643.9111656549887,839.8680912767395,8,1058.3005244258363,1333,1133
4,-1181.6561823785144,-209.01834045517396,10,1200.0,1330,919
5,1119.36789110737,-712.0502260078557,9,1326.6499161421598,1328,1078
6,-374.4066530614018,1392.7740872601557,10,1442.2205101855961,1330,958
7,-714.0340923459556,-1374.8291948339208,11,1549.1933384829665,1334,828
8,1549.168368454578,565.7538035044761,9,1649.2422502470645,1339,825
9,-1611.6515472462374,665.2663303210294,10,1743.5595774162693,1338,835
10,776.9225421243716,-1660.2383454007452,12,1833.030277982336,1335,758
11,574.125996609429,1830.404146634625,8,1918.3326093250878,1332,667
12,-1730.4224195064598,-1002.815162464853,11,2000.0,1334,649
13,2029.9824749347683,-446.2859525659666,11,2078.460969082653,1329,865
14,-1238.8667045402726,1762.1604037037957,10,2154.0659228538016,1337,888
15,-286.2068955622153,-2208.63885978053,10,2227.105745132009,1334,779
16,1757.0296228038446,1480.8264262194195,11,2297.825058615211,1336,761
17,-2364.4111081904966,97.77582249916635,10,2366.431913239847,1332,725
18,1724.6564006792185,-1716.263470332047,11,2433.1050121192875,1335,728
19,-115.38619497627867,2495.3328487416056,11,2497.9991993593594,1338,690
20,-1641.0161021047595,-1966.4857366970405,11,2561.2496949731394,1330,591
21,2599.5506989255173,349.7658698556117,12,2622.9754097207997,1333,573
22,-2202.594049623779,1532.5075701483242,12,2683.281572999748,1336,509
23,601.8753835105114,-2675.3964234714963,10,2742.2618401604177,1329,556
24,1392.1064499028266,2429.4113756502725,12,2800.0,1331,541
25,-2721.434913095954,-868.2119636254815,12,2856.5713714171393,1339,618
26,2643.5276836035628,-1221.3768403001507,12,2912.043955712207,1332,530
27,-1145.242245508466,2736.497798117646,12,2966.4793948382653,1333,524
28,-1022.103469709875,-2841.7080246230494,12,3019.9337741082995,1332,421
29,2719.7076332671736,1429.4021091170503,11,3072.4582991474435,1337,549
30,-3020.910867936057,796.3024098832153,12,3124.0998703626615,1332,556
31,1717.1065864006464,-2670.495266975682,12,3174.9015732775088,1331,443
32,546.2217436585968,3178.308010051034,12,3224.90309931942,1330,414
33,-2588.61183860971,-2004.7665073543246,11,3274.14110874898,1334,387
34,3311.3049380200077,-274.3348454795893,12,3322.6495451672295,1342,371
35,-2288.809712432769,2474.1362331677333,12,3370.459909270543,1334,443
36,16.672007342068703,-3417.5608325487324,12,3417.6014981270123,1330,417
37,2327.478491966114,2565.705335660185,11,3464.1016151377544,1334,334
38,-3495.0075950047203,-323.9165183489713,11,3509.9857549568487,1330,400
39,2831.9900732693764,-2149.3794976466374,12,3555.2777669262355,1339,384
40,-644.3408992312336,3541.867417843006,12,3599.9999999999995,1329,359
41,-1940.9071551543982,-3084.295610843821,12,3644.1734316577194,1333,376
42,3556.668515462159,974.7353851790762,12,3687.817782917155,1340,277
43,-3319.376550201735,1703.4492413837365,7,3730.9516212355256,1338,200
44,1311.7642036443087,-3538.258706487898,7,3773.592452822642,1334,171
45,1438.7030751993193,3534.138291212162,11,3815.7568056677824,1339,234
46,-3485.8165976280657,-1651.9935374270392,11,3857.460304397183,1336,213
47,3725.664404271949,-1148.6621551792077,12,3898.7177379235854,1339,312
48,-1991.9210708633439,3398.8601688581766,12,3939.5431207184424,1336,182
49,-835.5999179874235,-3891.2430889189395,10,3979.94974842648,1332,183
