id,x,y,final_sf,dist_closest_gw,packets_sent,packets_success
0,894.4271909999159,0.0,7,894.4271909999159,1331,1294
1,-1142.3269539235919,1046.4650640798518,9,1549.1933384829667,1326,1300
2,174.85144943391975,-1992.3420817296555,11,2000.0,1334,1295
3,1439.8291378756826,1878.0021442277875,11,2366.4319132398464,1331,1252
4,-2642.2635498312475,-467.37921780196336,12,2683.281572999748,1335,1163
5,2502.982696346662,-1592.1927087476545,12,2966.4793948382653,1332,1158
6,-837.1987274734742,3114.337536413932,12,3224.9030993194206,1335,1179
7,-1596.628768737919,-3074.2115370999495,12,3464.101615137754,1331,1162
8,3464.0457804568773,1265.0639631650672,12,3687.8177829171555,1340,1152
9,-3603.7624156853008,1487.580737739651,12,3898.7177379235854,1340,1160
