id,x,y,final_sf,dist_closest_gw,packets_sent,packets_success
0,200.0,0.0,7,200.0,1331,1207
1,-255.43207215034215,233.99670193612218,11,346.41016151377545,1337,1198
2,39.097972689861166,-445.5012329180951,7,447.21359549995793,1334,1216
3,321.95558282749437,419.93404563836975,7,529.1502622129182,1336,1180
4,-590.8280911892572,-104.50917022758698,7,600.0,1337,1204
5,559.683945553685,-356.02511300392786,7,663.3249580710799,1335,1189
6,-187.2033265307009,696.3870436300779,7,721.1102550927981,1335,1192
7,-357.0170461729778,-687.4145974169604,7,774.5966692414833,1328,1171
8,774.584184227289,282.87690175223804,7,824.6211251235322,1338,1196
9,-805.8257736231187,332.6331651605147,12,871.7797887081347,1335,1194
10,388.4612710621858,-830.1191727003726,7,916.515138991168,1334,1185
11,287.0629983047145,915.2020733173125,7,959.1663046625439,1335,1199
12,-865.2112097532299,-501.4075812324265,7,1000.0,1335,1179
13,1014.9912374673842,-223.1429762829833,7,1039.2304845413264,1330,1172
14,-619.4333522701363,881.0802018518979,7,1077.0329614269008,1330,1157
15,-143.10344778110766,-1104.319429890265,7,1113.5528725660045,1328,1178
16,878.5148114019223,740.4132131097098,7,1148.9125293076056,1332,1179
17,-1182.2055540952483,48.887911249583176,8,1183.2159566199234,1332,1177
18,862.3282003396092,-858.1317351660235,10,1216.5525060596437,1329,1156
19,-57.69309748813934,1247.6664243708028,7,1248.9995996796797,1326,1156
20,-820.5080510523798,-983.2428683485202,7,1280.6248474865697,1340,1160
21,1299.7753494627586,174.88293492780585,7,1311.4877048603998,1332,1151
22,-1101.2970248118895,766.2537850741621,8,1341.640786499874,1337,1156
23,300.9376917552557,-1337.6982117357481,7,1371.1309200802089,1331,1149
24,696.0532249514133,1214.7056878251362,8,1400.0,1332,1149
25,-1360.717456547977,-434.10598181274077,8,1428.2856857085696,1333,1156
26,1321.7638418017814,-610.6884201500753,8,1456.0219778561036,1330,1140
27,-572.621122754233,1368.248899058823,8,1483.2396974191327,1335,1161
28,-511.0517348549375,-1420.8540123115247,7,1509.9668870541498,1327,1132
29,1359.8538166335868,714.7010545585251,8,1536.2291495737218,1335,1157
30,-1510.4554339680285,398.15120494160766,7,1562.0499351813307,1342,1138
31,858.5532932003232,-1335.247633487841,8,1587.4507866387544,1330,1146
32,273.1108718292984,1589.154005025517,8,1612.45154965971,1335,1140
33,-1294.305919304855,-1002.3832536771623,8,1637.07055437449,1336,1119
34,1655.6524690100039,-137.16742273979466,10,1661.3247725836147,1334,1109
35,-1144.4048562163846,1237.0681165838666,8,1685.2299546352715,1340,1146
36,8.336003671034351,-1708.7804162743662,8,1708.8007490635061,1333,1125
37,1163.739245983057,1282.8526678300925,8,1732.0508075688772,1331,1121
38,-1747.5037975023602,-161.95825917448565,10,1754.9928774784244,1331,1137
39,1415.9950366346882,-1074.6897488233187,8,1777.6388834631177,1329,1095
40,-322.1704496156168,1770.933708921503,7,1799.9999999999998,1333,1146
41,-970.4535775771991,-1542.1478054219106,10,1822.0867158288597,1330,1113
42,1778.3342577310796,487.3676925895381,8,1843.9088914585775,1327,1131
43,-1659.6882751008675,851.7246206918683,8,1865.4758106177628,1330,1100
44,655.8821018221544,-1769.129353243949,7,1886.796226411321,1334,1104
45,719.3515375996597,1767.069145606081,10,1907.8784028338912,1331,1092
46,-1742.9082988140328,-825.9967687135196,7,1928.7301521985914,1335,1129
47,1862.8322021359745,-574.3310775896039,8,1949.3588689617927,1333,1123
48,-995.9605354316719,1699.4300844290883,8,1969.7715603592212,1328,1119
49,-417.79995899371175,-1945.6215444594698,8,1989.97487421324,1337,1119
50,1638.6263015424372,1164.0033693651205,7,2009.9751242241778,1335,1098
51,-2014.1961804048071,251.02539083265088,8,2029.7783130184437,1339,1109
52,1328.3521589880152,-1560.602621333144,7,2049.39015319192,1337,1125
53,75.39432636892582,2067.441823982328,7,2068.81608655772,1340,1112
54,-1465.6387957701368,-1487.246758387277,8,2088.06130178211,1333,1116
55,2104.381755460542,107.59845391457954,7,2107.130750570548,1335,1120
56,-1638.956113222484,1354.187158014226,7,2126.0291625469295,1326,1138
57,296.36332412444676,-2124.1866161224884,8,2144.7610589527217,1335,1088
58,1226.869615059978,1781.7943056488257,10,2163.3307652783938,1333,1127
59,-2126.1830250287676,-489.22974570187193,7,2181.742422927143,1328,1114
60,1914.1363603342631,-1084.4731412286337,7,2200.0,1330,1086
61,-684.4610296680257,2109.8609193180923,8,2218.1073012818833,1333,1095
62,-927.9437962338468,-2034.4336585475373,10,2236.06797749979,1333,1110
63,2074.87953364206,880.2698000461598,8,2253.8855339169286,1331,1099
64,-2141.228812654001,758.3793060601906,7,2271.5633383201093,1333,1099
65,1074.8340241051658,-2021.0719484040876,8,2289.1046284519193,1327,1102
66,577.0202588038974,2233.1698593993883,8,2306.5125189341593,1335,1115
67,-1948.4481506263746,-1266.3134700067997,11,2323.7900077244503,1339,1136
68,2309.0236371970336,-385.2399808760548,8,2340.9399821439256,1333,1105
69,-1452.8664484451278,1857.1965655208498,8,2357.9652245103193,1337,1120
70,-184.53317150687022,-2367.688220313987,7,2374.8684174075834,1344,1102
71,1747.6840311722426,1632.6666920059156,9,2391.6521486202796,1334,1127
72,-2408.204291395398,-23.496614751704893,7,2408.3189157584593,1329,1109
73,1803.920224298474,-1620.4542031069393,8,2424.871130596429,1330,1110
74,-237.1505369183173,2429.765343163688,7,2441.3111231467406,1331,1120
75,-1476.2243898565525,-1964.8820704542677,8,2457.6411454889017,1336,1097
76,2431.726610346446,454.64897727036214,7,2473.8633753705967,1328,1116
77,-2113.8726613686385,1315.8808348472398,11,2489.9799195977466,1334,1113
78,674.1468722269581,-2413.6126438736205,7,2505.9928172283335,1334,1102
79,1140.4724739719306,2249.293786083166,9,2521.9040425836984,1342,1106
80,-2375.1234510745894,-893.7497368701902,7,2537.7155080899042,1327,1112
81,2369.6439499656594,-951.203211932732,9,2553.429066960741,1326,1074
82,-1111.530248706009,2316.1391379214588,8,2569.046515733026,1329,1091
83,-749.4227737805688,-2473.5330008186747,7,2584.569596664017,1337,1093
84,2236.723002218746,1325.545250583909,7,2599.9999999999995,1330,1116
85,-2559.695890706865,536.6162009279889,7,2615.339366124404,1333,1114
86,1533.8530282193299,-2137.1230399353217,7,2630.589287593181,1332,1122
87,314.392073170312,2627.0054480963063,11,2645.751311064591,1335,1119
88,-2017.7718405114006,-1734.5307145274871,7,2660.826939130014,1326,1092
89,2674.4840427925838,-84.46954982616379,8,2675.81763205193,1338,1098
90,-1925.6916710141804,1879.2848608411164,9,2690.724809414742,1334,1118
91,151.33566609779277,-2701.3140350886156,7,2705.549851693737,1335,1099
92,1722.4570816233593,2105.5026957868135,7,2720.2941017470885,1339,1103
93,-2706.846910414612,-391.12632688029544,7,2734.958866235469,1333,1118
94,2272.2009083625853,-1548.2580637723943,10,2749.5454169735044,1341,1143
95,-632.9394793786374,2690.611011544385,10,2764.0549922170503,1335,1100
96,-1357.8254364735526,-2424.110163351783,10,2778.488797889961,1329,1093
97,2652.3177919654586,874.7630138634541,7,2792.8480087537882,1331,1090
98,-2559.6568482714633,1152.4568621414853,10,2807.13376952364,1330,1103
99,1114.552784749446,-2591.8665262716086,7,2821.347195933177,1337,1106
100,933.6005368780201,2677.384925172522,7,2835.4893757515647,1339,1116
101,-2509.347426285773,-1350.2501598566712,7,2849.561369755001,1332,1109
102,2775.970081410595,-702.844297916157,7,2863.5642126552707,1328,1121
103,-1579.7998503219944,2405.0431249610897,10,2877.4989139876316,1331,1105
104,-461.9034218759639,-2854.2328617089524,7,2891.366458960192,1337,1101
105,2279.4285038306953,1801.1678700010611,7,2905.1678092667903,1335,1109
106,-2911.1506616008696,212.60720933405977,10,2918.903903865284,1332,1068
107,2012.3594711981823,-2133.1688537663804,7,2932.575659723036,1331,1123
108,-43.11553787311449,2945.8684713330144,7,2946.1839725312466,1335,1086
109,-1967.1163729475204,-2211.4369028488677,7,2959.729717389748,1332,1107
110,2957.7082692895538,303.252030127075,10,2973.213749463701,1331,1080
111,-2396.536837870206,1782.3050201161068,9,2986.636904613616,1335,1101
112,565.7218686761317,-2946.176974878051,11,3000.0,1334,1093
113,1579.9437552826112,2565.8873182864986,7,3013.3038346638723,1333,1107
114,-2910.9728825145858,-828.3941557403235,9,3026.5491900843112,1332,1102
115,2717.8240699201865,-1361.4082139323511,8,3039.736830714133,1334,1107
116,-1089.1051953437664,2851.990510761776,7,3052.8675044947495,1334,1111
117,-1128.2308743459962,-2850.8060428890053,7,3065.9419433511785,1334,1105
118,2769.3238137074727,1345.6766382874819,7,3078.9608636681305,1337,1115
119,-2963.4300398375026,882.089790774555,7,3091.9249667480613,1340,1101
120,1595.93392002055,-2663.2677152190017,9,3104.834939252005,1331,1109
121,624.7959777927185,3054.444300709057,11,3117.691453623979,1336,1105
122,-2534.317940651715,-1837.7248367725917,10,3130.4951684997054,1332,1118
123,3122.7609208863128,-358.2795430739349,7,3143.2467291003422,1333,1091
124,-2068.9381031888574,2383.1691348230597,7,3155.9467676118998,1329,1073
